Номер БС,Адрес,Операторы 800 МГц,Операторы 1800 МГц,Операторы 2600 МГц,Широта,Долгота
304487,"г. Гомель, ул. Кирова, 36",,"M, V, L","M, V, L",52.43375,31.002888889
304489,"г. Гомель, ул. Сосновая, 6а",,"M, V, L","M, V",52.413952778,30.943847222
304494,"г. Гомель, ул. Каменщикова-Чечерская",,"M, V, L","M, V",52.462527778,31.035694444
304698,д. Мотневичи,"M, V, L",,,52.896583333,30.767333333
304902,"г. Калинковичи, ул. 50 лет Октября, 6",,"M, V, L","M, V",52.125555556,29.329722222
304903,"г. Мозырь, ул. Котловца, 9",,"M, V, L","M, V, L",52.030777778,29.234313889
304904,"г. Мозырь, пл. Горького, 1",,"M, V, L",,52.044508333,29.272352778
304905,"г. Мозырь, ул. Притыцкого, 22",,"M, V, L","M, V",52.036125,29.209908333
304906,"г. Мозырь, НПЗ",,"M, V, L","M, V, L",51.896472222,29.309722222
304913,"г. Наровля, ул. Коммунистическая, 3",,"M, V, L",,51.797138889,29.508166667
304919,"г. Калинковичи, ул. Куйбышева, 28",,"M, V, L","M, V, L",52.120597222,29.343036111
304921,д. Дубовый Лог,"M, V, L",,,52.530194444,31.366777778
304927,"г. Гомель, ул. Чечерская, д. 35а",,"M, V, L","M, V, L",52.471806043,31.04274997
304930,"г. Мозырь, ул. Юрия Гагарина, 99",,"M, V, L","M, V, L",52.024169444,29.2175
304936,"д. Средние Печи, ул. Октябрьская, дом 14","M, V, L",,,51.859277778,28.193277778
304939,д. Слабожанка,"M, V, L",,,51.913055556,29.734916667
304944,агрогородок Боровое,"M, V, L",,,51.715194444,28.072083333
304945,д. Осенское,"M, V, L",,,51.736861111,28.251611111
304947,п. Слобода,"M, V, L",,,51.87375,27.938527778
304950,"г. Светлогорск, ул. Свердлова, 8",,"M, V, L","M, V, L",52.623583333,29.746916667
304953,"г. Мозырь, ул. Полесская, 28",,"M, V, L","M, V",52.056458333,29.225244444
304966,"г. Добруш, пр-т Мира, 17",,"M, V, L","M, V, L",52.424502015,31.312120678
304968,"д. Марьино, ул. Октябрьская","M, V, L",,,52.475138889,31.266888889
304970,"п. Залозье, ул. Партизанская","M, V, L",,,53.2295,30.215277778
304973,д. Волосовичи,"M, V, L",,,52.996111111,31.171527778
304975,д. Полесье,"M, V, L",,,53.08775,31.285027778
304976,д. Буда-Софиевка,"M, V, L",,,51.861194444,28.641222222
304982,"г. Хойники, ул. Советская, 50а",,"M, V, L",,51.890277778,29.965388889
304985,д. Вялье,"M, V, L",,,51.564,30.50075
304987,"д. Глиница, ул. Пролетарская","M, V, L",,,52.064722222,28.626388889
304988,д. Дубровица,"M, V, L",,,52.0475,30.108611111
304989,"агрогородок Вебровичи, ул. Колхозная","M, V, L",,,51.714805556,29.5095
304992,"г.п.Озаричи, ул. Гагарина, 7а","M, V, L",,,52.459083,29.264083
304993,д. Кнышевичи,"M, V, L",,,52.769111111,29.29525
304996,"н.п. Скородное, ул. Советская","M, V, L",,,51.627722222,28.817972222
305003,"г. Гомель, ул. Емельяна Барыкина, д. 101б",,"M, V, L",,52.41893329,30.9822274
305031,"г. Гомель, ул. Емельяна Барыкина, д. 132-1",,"M, V, L",,52.41968,30.96138
305045,"г.  Речица, ул. 10 лет Октября",,"M, V, L",,52.35876,30.44245
305332,"г. Гомель, ул. Мазурова, 60",,"M, V, L","M, V, L",52.455638889,31.022916667
305401,"г. Светлогорск, м-н Шатилки, 7а",,"M, V, L","M, V, L",52.63379831,29.749666745
305402,"г. Ельск, Мозырский тр-т",,"M, V, L","M, V, L",51.813,29.171188889
305429,д. Беляевка,"M, V, L",,,52.959555556,31.019694444
305477,"г. Гомель, ул. Федюнинского, 19",,"M, V, L",,52.482796752,30.992837806
305648,д. Ворновка,"M, V, L",,,53.022549803,30.870190636
305695,д. Староград,"M, V, L",,,53.127891742,30.591698389
305932,"г. Мозырь, ул. Малинина, 8",,"M, V, L","M, V, L",52.03,29.204972222
305940,"г. Жлобин, ул. Маркса, д. 2",,"M, V, L",,52.90794,30.04881
305943,"г. Гомель, ул. 50 лет БССР, 2",,"M, V, L","M, V, L",52.454236755,30.995458852
305954,"г. Жлобин, ул. Ленинградская, 5б",,"M, V, L",,52.910444432,30.033861078
305991,"г. Гомель, ул. Портовая, 14",,"M, V, L",,52.438619818,31.012105803
306107,"г. Гомель, ул. Советская, д. 39",,"M, V, L",,52.436320403,31.009415751
306108,"г. Гомель, ул. Ирининская, д. 6",,"M, V, L",,52.429422506,31.010611125
306118,"г. Гомель, пр. Речицкий , 80",,"M, V, L","M, V, L",52.405179375,30.921182466
306154,"г. Мозырь, ул. Ленинская, д. 25",,"M, V, L",,52.045139,29.259944
306220,"г. Мозырь, бул. Юности, в районе, д. 62",,"M, V, L",,52.033819,29.200525
306351,"г. Гомель, ул. Денисенко, в районе домов 34-48 ",,"M, V, L",,52.393547473,30.961845387
306352,"г. Речица, ул. Г. Ширмы, 30",,"M, V, L",,52.365183698,30.351357157
306667,"г. Гомель, ул. Артема, 4",,"M, V, L",,52.431212,31.017354
310644,"г. Гомель, Речицкое шоссе, 45",,"M, V, L",V,52.409414733,30.935379829
310646,"г. Гомель, ул. Кирова, 32а",,"M, V, L",V,52.431461111,31.004936111
310649,"г. Гомель, Достоевского, 1",,"M, V, L",V,52.386875,31.022197222
310655,"г. Гомель, Советская, 87","V, L","M, V, L",,52.448123264,30.999748812
310660,"г. Гомель, Волгоградская, 12","V, L","M, V, L",,52.408558333,30.957669444
310662,"г. Гомель, ул.Чечерская, 33а","V, L","M, V, L",,52.467277778,31.036777778
310668,"г. Гомель, ул. Юбилейная, 8",,"M, V, L",V,52.457638889,31.002972222
310670,"г. Гомель, Советская, 104",,"M, V, L",V,52.442847222,31.001022222
310671,"г. Гомель, ул. Октября пр., 50",,"M, V, L",,52.406576833,30.934621543
310672,"г. Гомель, ул. Медицинская, 2",,"M, V, L",V,52.397772222,30.908525
310673,"г. Гомель, ул. Лепешинского, 7","V, L","M, V, L",,52.477708333,31.000961111
310675,"г. Гомель, ул. Лазурная, 6",,"M, V, L",V,52.410691667,30.927483333
310681,"г. Гомель, ул. Быховская, 106",,"M, V, L",V,52.412777778,30.974788889
310686,"г. Гомель, ул. Октября пр., 13а","V, L","M, V, L",,52.408775,30.968897222
310687,"г. Гомель, ул. Октября пр., 44","V, L","M, V, L",,52.405969444,30.945183333
310689,"г. Гомель, ул. Интернациональная, 10","V, L","M, V, L",,52.421587033,31.006303222
310692,"г. Гомель, ул. Циолковского, 119а","V, L","M, V, L",,52.430333333,30.966194444
310693,"г. Гомель, ул. Федюнинского, 17",,"M, V, L",V,52.479673385,30.98978613
310695,"г. Гомель, ул. Ильича, 286",,"M, V, L",V,52.355527778,31.035727778
310698,"г. Гомель, ул. Студенческий пр-зд, 13а",,"M, V, L",V,52.404705556,30.928422222
310699,"г. Гомель, ул. Шевченко, 27","V, L","M, V, L",,52.437611111,30.991
310700,"г. Гомель, ул. Владимирова, 12","V, L","M, V, L",,52.431111111,30.943027778
310703,"г. Гомель, ул. Хмельницкого, 124","V, L","M, V, L",,52.402861111,30.985527778
310710,"д. Еремино, ул. Советская, 150б",,"M, V, L",,52.506305556,30.946111111
310711,п. Андреевка,"M, V, L",,,52.134027778,31.505472222
310712,"п. Баштан, 62Б","M, V, L",,,52.215333333,31.098027778
310713,вблизи д. Белев,"M, V, L",,,52.278694444,28.022027778
310714,вблизи п. Белицк,"M, V, L",,,52.936527778,30.415
310715,д. Березки,"M, V, L",,,52.399777778,31.096027778
310716,д. Березняки,"M, V, L",,,52.487295,27.496174
310717,д. Боец,"M, V, L",,,52.617472222,30.462222222
310718,д. Бобовичи ,"M, V, L",,,52.337277778,30.912277778
310720,"агрогордок Боровики, ул. Центральная, д. 191","M, V, L",,,52.550027778,29.856777778
310721,УС Борщёвка,"M, V, L",,,52.37250831,30.62922571
310723,"г. Брагин, ул. Крылова, 7","M, V, L","M, V, L",,51.778888889,30.266472222
310727,н.п. Буды,"M, V, L",,,52.304138889,27.455916667
